request-id,request-method,request-path,request-query,request-payload,response-status,response-content-type,response-payload,response-oops,pre-handle-timestamp,post-handle-timestamp,"after-completion-timestamp"
# RESET
# BEGIN TEST CLASS "TestReplayer"
# BEGIN TEST CASE "test"
"ea69b925-6ca5-e22f-bacc-6cea5afa0013",GET,/,"debug=true&language=en",,302,,,,579532792176300,579532890250600,579532896337100
"0ee789e6-9cd3-c673-c1de-e11db2d6da18",GET,/any/system/welcome,,,200,text/html;charset=utf-8,banner=87,,579532927561100,579532939491300,579537781118400
"c0e0b5b9-77e0-5d46-cc41-eb74caabb966",GET,"/libraries/fontawesome/5.2.0/css/all.min.css",,,200,text/css,,,579537936880300,579537953319300,579537954730100
"d9e1657e-4c25-c1ec-f11c-0e27b9a11aa8",GET,"/libraries/bootstrap/4.1.3/css/bootstrap.min.css",,,200,text/css,,,579537991417800,579538001065900,579538002885400
"67b0b626-bd00-bab1-5fca-ccdc233440aa",GET,"/libraries/jquery/3.3.1/js/jquery.min.js",,,200,application/javascript,,,579538036557200,579538076643900,579538077817000
"474f94a3-69b5-dbdc-8aeb-62b09858dba1",GET,"/libraries/popper.js/1.14.4/js/popper.min.js",,,200,application/javascript,,,579538113746300,579538147524000,579538149035600
"17cf08c9-c01d-2541-39db-bb239033e11f",GET,"/libraries/datatables/1.10.18/css/datatables.min.css",,,200,text/css,,,579538178782400,579538186143400,579538187198500
"0d51458a-1c8b-39e9-ba82-0047f9949186",GET,"/libraries/bootstrap/4.1.3/js/bootstrap.min.js",,,200,application/javascript,,,579538207472800,579538270309200,579538272407900
"6080f0a5-1795-32a4-5905-ba999d49b60a",GET,"/libraries/datatables/1.10.18/js/jquery.datatables.min.js",,,200,application/javascript,,,579538300865200,579538326881300,579538328086800
"8e4ce0f2-a9c4-9e2e-382d-83ca2e739044",GET,"/libraries/datatables/1.10.18/js/datatables.min.js",,,200,application/javascript,,,579538347897300,579538381518500,579538382588300
"2bbf66f5-c3a8-cb24-9a68-9a76d18575b2",GET,"/libraries/areyousure/1.9.0/js/areyousure.min.js",,,200,application/javascript,,,579538410059100,579538423728300,579538424832400
"f4448e80-7a40-478b-bae2-66609183e015",GET,"/libraries/acme/css/acme.css",,,200,text/css,,,579538444277700,579538450019800,579538451026400
