key,instanciation-or-update-moment,display-start,display-end,image,slogan,link
banner-01,2019/08/25 22:15,2019/08/25 22:16,2019/09/02 22:20,https://www.recordnet.com/gcdn/presto/2021/03/22/NRCD/9d9dd9e4-e84a-402e-ba8f-daa659e6e6c5-PhotoWord_003.JPG?width=660&height=425&fit=crop&format=pjpg&auto=webp,slogan1,https://www.wikipedia.com
banner-02,2010/12/31 23:59,2011/01/01 00:00,2011/01/08 00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTXvISWV--yWSsHVx9MeoMlK8a_iawaZDX9Bg&s,slogan2,https://www.wikipedia.com
banner-03,2020/01/01 00:00,2020/01/01 00:01,2011/01/08 00:01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRbKnG--JqNfXHh0OXOQgveASbG2ZDeOrpcQ&s,slogan3,https://www.wikipedia.com
banner-04,2020/02/29 00:01,2020/03/01 00:00,2020/03/08 00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRxXnC3fwMwkbIt3ejGRIw3NmbDyUtgS5g2jA&s,slogan4,https://www.wikipedia.com
banner-05,2021/02/28 00:00,2021/02/28 00:01,2021/03/07 00:01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS3oo0tHTZ0hgXIfdUjC7TIeTOCXhUpvRBd3g&s,slogan5,https://www.wikipedia.com
banner-06,2019/03/29 01:15,2019/03/29 03:16,2019/05/05 03:16,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWAA2F_8Wnf9R0jW22aHqSbqP_xDMCuO4x5Q&s,slogan6,https://www.wikipedia.com
banner-07,2019/03/29 23:59,2019/03/30 00:00,2019/05/05 03:17,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwv178TD2B0QpRzs8RzWoGKiSZzS4HqvW12A&s,slogan7,https://www.wikipedia.com
banner-08,2019/08/25 22:14,2019/08/25 22:15,2019/09/02 22:20,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT95brU3smXICbq_G2KdYnOZDzNX1hespVjQw&s,slogan8,https://www.wikipedia.com
banner-09,2010/12/31 23:58,2010/12/31 23:59,2011/01/08 00:00,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQn9FmoMjcsIFBgQfyqZVs6EN4JtXmWBdBZ4A&s,slogan9,https://www.wikipedia.com
banner-10,2019/12/31 23:59,2020/01/01 00:00,2011/01/08 00:30,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbaV5-MTQSiFqZ07iSfQMv62D0COm1tnK0sg&s,slogan10,https://www.wikipedia.com
banner-11,2020/02/29 00:00,2020/02/29 00:01,2020/03/15 00:01,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlte8jVger7Istf0ctZT7Fxyn_GfHfWDg5-w&s,slogan11,https://www.wikipedia.com
banner-12,2021/02/27 23:00,2021/02/28 00:00,2020/03/08 00:02,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSqZwSzZegQjG_1TfJNDFdiPzhgzO1MCbDuQ&s,slogan12,https://www.wikipedia.com
